NÂº,#,TID,EPC,,,(kHz),(0Â°-180Â°),
58,2,E2003412013DFF000C4EBF7F041A013B300D5FFBFFFFDC50,E2000020391000831880369E,-53,11,923250,73,Gen2
59,1,E2003412013DFF000C4EBF7F041A013C300D5FFBFFFFDC50,E2000020391000831880369E,-51,11,923250,33,Gen2
60,3,E200600316D921AD,15990,-55,11,923250,109,Gen2
61,1,E20034120135010004DFFC120D0F012F300D5FFBFFFFDC50,E200001B231002271970D151,-58,11,923250,146,Gen2
62,1,E20034120135010004DFFC120D0F0131300D5FFBFFFFDC50,E200001B231002271970D151,-57,11,923250,154,Gen2
63,1,E200680B00004006B9F35C6A0000000000000000000000000000,E200680B0000000000000000,-50,11,923250,115,Gen2
64,5,E200680B00004006A1B32C5F0000000000000000000000000000,E200680B0000000000000000,-50,11,923250,95,Gen2
65,2,E200680B00004006A1B3D0680000000000000000000000000000,E200680B0000000000000000,-48,11,923250,160,Gen2
66,3,E200600316D97E19,35325,-61,11,923250,95,Gen2
67,3,E200657505497BE7,59467,-59,11,923250,14,Gen2
68,2,E200680B00004006A1B194340000000000000000000000000000,E200680B0000000000000000,-59,11,923250,42,Gen2
69,3,E20065750548E8F7,79480,-59,11,923250,115,Gen2
70,2,E200341201370500004E984F1D170134300D5FFBFFFFDC50,E2000020230102041200B5D2,-55,11,923250,137,Gen2
71,2,E200600316D97405,8847,-58,11,923250,25,Gen2
72,3,E2003412013401000B1625EA11100134300D5FFBFFFFDC60,000000000000000000C1235B,-53,11,923250,165,Gen2
73,1,E2003412013401000B1625EA11100133300D5FFBFFFFDC60,000000000000000000C1235B,-55,11,923250,112,Gen2
74,3,E200680B00004006A032983D0000000000000000000000000000,E200680B0000000000000000,-54,11,923250,174,Gen2
75,1,E200680B00004006A1B1C0610000000000000000000000000000,E200680B0000000000000000,-61,11,923250,129,Gen2
76,3,E200680B00004006B9F310580000000000000000000000000000,E200680B0000000000000000,-45,11,923250,154,Gen2
77,3,E200680B00004006A19131160000000000000000000000000000,E200680B0000000000000000,-49,11,923250,160,Gen2
78,2,E2003412012603000E8831A513060122300D5FFBFFFFDC70,AA0004EF55555555AA019056,-55,11,923250,39,Gen2
79,1,E20034120148C3FFEE986C4D0C1A014810055FFBFFFFDC40,E2008347590902570980B318,-59,11,923250,22,Gen2
80,1,E2003412012603000E8831A51306012A300D5FFBFFFFDC70,AA0004EF55555555AA019056,-51,11,923250,67,Gen2
81,3,E20034120148C3FFEE986C4D0C1A014730055FFBFFFFDC40,E2008347590902570980B318,-51,11,923250,109,Gen2
82,2,E2003412012603000E8831A513060129300D5FFBFFFFDC70,AA0004EF55555555AA019056,-52,11,923250,45,Gen2
83,3,E200600316D94DE1,18880,-55,11,923250,132,Gen2
84,3,E200657505496DCB,65389,-55,11,923250,146,Gen2
85,4,E280110020007396D5C409B9,800720000000000000011660,-56,11,913250,87,Gen2
86,4,E28011052000785176560A6B000000000000000000000000,FFFF0751,-45,11,923250,165,Gen2
87,2,E200680B000040069F2580DF0000000000000000000000000000,E200680B0000000000000000,-54,11,913250,112,Gen2
88,3,E200680B00004006A031C8270000000000000000000000000000,E200680B0000000000000000,-55,11,923250,53,Gen2
89,1,E2003412012B1C00014C391B0A1B0127100D5FFBFFFFDC50,E200001D7619014607007A35,-58,11,923250,112,Gen2
90,3,E200657505489551,48366,-59,11,923250,132,Gen2
91,1,E2003412012B1C00014C391B0A1B0126300D5FFBFFFFDC50,E200001D7619014607007A35,-58,11,923250,64,Gen2
92,1,E2003412012B1C00014C391B0A1B0127300D5FFBFFFFDC50,E200001D7619014607007A35,-55,11,923250,67,Gen2
93,1,E2003412012B1C00014C391B0A1B0128100D5FFBFFFFDC50,E200001D7619014607007A35,-59,11,923250,174,Gen2
94,2,E200600316D93269,54312,-57,11,923250,28,Gen2
95,1,E200341201321B00017ABA34181E0130300D5FFBFFFFDC50,E200001D160802112700C339,-51,11,923250,56,Gen2
96,2,E200341201321B00017ABA34181E012F700D5FFBFFFFDC50,E200001D160802112700C339,-48,11,923250,95,Gen2
97,1,E200341201321B00017ABA34181E0130700D5FFBFFFFDC50,E200001D160802112700C339,-47,11,923250,106,Gen2
98,3,E200657505497025,81643,-55,11,923250,30,Gen2
99,2,E200657505487886,31783,-60,11,923250,84,Gen2
100,4,E200680B00004006A1B3E4F10000000000000000000000000000,E200680B0000000000000000,-58,11,923250,174,Gen2
101,3,E200680B00004006A1B350580000000000000000000000000000,E200680B0000000000000000,-51,11,923250,16,Gen2
102,2,E200657505495800,59252,-60,11,923250,64,Gen2
103,2,E20065750548C4BB,43367,-58,11,923250,42,Gen2
104,2,E200680B00004006A1B33CD30000000000000000000000000000,E200680B0000000000000000,-58,11,923250,154,Gen2
105,2,E200680B00004006B9F1508B0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,135,Gen2
106,1,E2003412012FFC000E0FCEA40D15011D300D5FFBFFFFDC40,E2003412012FFC000E0FCEA4,-55,11,923250,120,Gen2
107,1,E2003412012FFC000E0FCEA40D150130300D5FFBFFFFDC40,E2003412012FFC000E0FCEA4,-53,11,923250,75,Gen2
108,1,E200341201320200077313B016100123300D5FFBFFFFDC50,E200341201320200077313B0,-55,11,923250,163,Gen2
109,1,E200341201320200077313B016100129300D5FFBFFFFDC50,E200341201320200077313B0,-55,11,923250,11,Gen2
110,1,E200341201320200077313B01610012D300D5FFBFFFFDC50,E200341201320200077313B0,-53,11,923250,2,Gen2
111,1,E200341201320200077313B01610012E300D5FFBFFFFDC50,E200341201320200077313B0,-53,11,923250,154,Gen2
112,10,E200680B00004006A191BC9F0000000000000000000000000000,E200680B0000000000000000,-55,11,913250,61,Gen2
113,4,E200600316D99D48,16739,-55,11,923250,132,Gen2
114,4,E200680B00004006A1B3F4090000000000000000000000000000,E200680B0000000000000000,-51,11,923250,84,Gen2
115,3,E200680B000040069F35086A0000000000000000000000000000,E200680B0000000000000000,-56,11,923250,33,Gen2
116,1,E200680B00004006B9F154DA0000000000000000000000000000,E200680B0000000000000000,-46,11,923250,132,Gen2
117,2,E200680B00004006A1B4002F0000000000000000000000000000,E200680B0000000000000000,-60,11,923250,135,Gen2
118,3,E200657505498B2A,66609,-56,11,923250,112,Gen2
119,3,E200600316D98215,24261,-59,11,923250,95,Gen2
