NÂº,#,TID,EPC,,,(kHz),(0Â°-180Â°),
265,2,E20034120183FF0003CD9D312521017630055FFBFFFFDC00,029F81000000000000000000,-49,11,923250,154,Gen2
266,1,E20034120136C0FFEEBA7E3E1502013330055FFBFFFFDC50,020113120000000000000E8F,-57,11,923250,174,Gen2
267,1,E20034120183FF0003CD9D312521017530055FFBFFFFDC00,029F81000000000000000000,-51,11,923250,174,Gen2
268,3,E200680B00004006B9F2B0E80000000000000000000000000000,E200680B0000000000000000,-53,11,923250,8,Gen2
269,3,E200600316D8F975,28608,-58,11,923250,118,Gen2
270,3,E200657505498EC3,71502,-55,11,923250,115,Gen2
271,3,E200680B00004006B9F2E1140000000000000000000000000000,E200680B0000000000000000,-52,11,923250,73,Gen2
272,4,E200680B00004006A195543D0000000000000000000000000000,E200680B0000000000000000,-57,11,923250,174,Gen2
273,4,E200680B00004006A1B1D8CF0000000000000000000000000000,E200680B0000000000000000,-57,11,923250,154,Gen2
274,3,E200680B000040069F323D140000000000000000000000000000,E200680B0000000000000000,-51,11,923250,14,Gen2
275,2,E200680B00004006A1B29C6D0000000000000000000000000000,E200680B0000000000000000,-58,11,923250,112,Gen2
276,2,E2003412013C0200032A986B17060138300D5FFBFFFFDC50,E2000019830601252380645A,-55,11,923250,160,Gen2
277,1,E2003412013C0200032A986B17060139300D5FFBFFFFDC50,E2000019830601252380645A,-54,11,923250,2,Gen2
278,3,E200680B00004006B9F2F40E0000000000000000000000000000,E200680B0000000000000000,-53,11,923250,81,Gen2
279,2,E200680B00004006B9F200150000000000000000000000000000,E200680B0000000000000000,-59,11,923250,64,Gen2
280,5,E200680B00004006A1B345090000000000000000000000000000,E200680B0000000000000000,-55,11,923250,16,Gen2
281,1,E2003412012FFD0006DB08901911012E300D5FFBFFFFDC40,E20000153509010527100890,-49,11,923250,135,Gen2
282,2,E2003412012FFD0006DB08901911012D300D5FFBFFFFDC40,E20000153509010527100890,-51,11,923250,143,Gen2
283,1,E20034120135FB00051FF04F1F1B013370055FFBFFFFDC40,E2005186000A4D001170A04F,-45,11,923250,137,Gen2
284,1,E20034120135FB00051FF04F1F1B013430055FFBFFFFDC40,E2005186000A4D001170A04F,-47,11,923250,98,Gen2
285,1,E20034120135FB00051FF04F1F1B013230055FFBFFFFDC40,E2005186000A4D001170A04F,-47,11,923250,84,Gen2
286,3,E200680B00004006A1B404790000000000000000000000000000,E200680B0000000000000000,-58,11,923250,112,Gen2
287,2,E200680B000040069F35E89B0000000000000000000000000000,E200680B0000000000000000,-54,11,923250,132,Gen2
288,1,E200341201691D0005B9D6B50A180163300D5FFBFFFFDC70,A44300193203005016306DFD,-51,11,923250,104,Gen2
289,3,E200680B00004006A1B3342F0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,104,Gen2
290,4,E200680B00004006A1B2C48F0000000000000000000000000000,E200680B0000000000000000,-58,11,923250,132,Gen2
291,2,E200600316D9343E,53940,-55,11,923250,75,Gen2
292,4,E200680B00004006B9F2184E0000000000000000000000000000,E200680B0000000000000000,-54,11,923250,67,Gen2
293,3,E280110520007791761F0A6B000000000000000000000000,FFFF0781,-52,11,923250,137,Gen2
294,4,E200680B00004006A1B1B9150000000000000000000000000000,E200680B0000000000000000,-52,11,923250,73,Gen2
295,5,E28011002000725334DC09DA,4E2019088139000000000001,-42,11,923250,5,Gen2
296,4,E200657505488248,56590,-54,11,923250,14,Gen2
297,4,E200600316D95AC7,50947,-54,11,923250,104,Gen2
298,3,E20065750548821B,56696,-58,11,923250,22,Gen2
299,2,E200680B00004006B9F2C1010000000000000000000000000000,E200680B0000000000000000,-55,11,923250,163,Gen2
300,3,E200680B00004006A192A42A0000000000000000000000000000,E200680B0000000000000000,-58,11,923250,61,Gen2
301,1,E200680B00004006A1954D120000000000000000000000000000,E200680B0000000000000000,-60,11,923250,135,Gen2
302,4,E200680B00004006A1B1AC470000000000000000000000000000,E200680B0000000000000000,-58,11,923250,157,Gen2
303,3,E200680B00004006A192B0FE0000000000000000000000000000,E200680B0000000000000000,-47,11,923250,151,Gen2
304,1,E200680B00004006B9F20C290000000000000000000000000000,E200680B0000000000000000,-60,11,923250,101,Gen2
305,3,E20065750549B9B1,84602,-54,11,923250,146,Gen2
306,3,E2006575054996FF,57778,-59,11,923250,47,Gen2
307,1,E200680B00004006A1B3E8DA0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,123,Gen2
308,3,E2003412012C2000002FEC1912060129300D5FFBFFFFDC50,E200002083030125078061DA,-54,11,923250,143,Gen2
309,1,E2003412012C2000002FEC191206012A300D5FFBFFFFDC50,E200002083030125078061DA,-51,11,923250,30,Gen2
310,1,E20034120134FD000E49DA94060C0132000D5FFBFFFFDC50,1361,-61,11,913250,33,Gen2
311,3,E200680B000040069F2624AD0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,81,Gen2
312,2,E2003412013902000A534AC6150A0134300D4AFBFFFFDC50,4E20190A02EC400000000001,-49,11,923250,14,Gen2
313,4,E20065750548A241,36796,-54,11,923250,0,Gen2
314,2,E2003412013902000A534AC6150A0133700D4AFBFFFFDC50,4E20190A02EC400000000001,-47,11,923250,104,Gen2
315,1,E2003412013902000A534AC6150A0131700D4AFBFFFFDC50,4E20190A02EC400000000001,-47,11,923250,123,Gen2
316,3,E200680B00004006A1B230720000000000000000000000000000,E200680B0000000000000000,-48,11,923250,132,Gen2
317,2,E200680B00004006A0C164400000000000000000000000000000,E200680B0000000000000000,-51,11,923250,165,Gen2
318,4,E200680B00004006B9F2A8910000000000000000000000000000,E200680B0000000000000000,-57,11,923250,30,Gen2
319,2,E200657505499337,75650,-58,11,923250,50,Gen2
320,3,E200600316D9619A,19216,-58,11,923250,104,Gen2
321,1,E2003412013601000C47EF960D1C0133100D5FFBFFFFDC60,E200001D17070085197039B2,-57,11,923250,135,Gen2
322,2,E200680B00004006A045D0B40000000000000000000000000000,E200680B0000000000000000,-51,11,923250,157,Gen2
323,1,E2003412013601000C47EF960D1C0133300D5FFBFFFFDC60,E200001D17070085197039B2,-52,11,923250,70,Gen2
324,2,E200680B00004006B9F2903F0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,39,Gen2
325,3,E200657505491938,73985,-58,11,923250,16,Gen2
326,3,E200680B00004006A0618C490000000000000000000000000000,E200680B0000000000000000,-56,11,923250,132,Gen2
327,3,E200680B000040069F263C790000000000000000000000000000,E200680B0000000000000000,-55,11,923250,47,Gen2
328,3,E200680B000040069F2230420000000000000000000000000000,E200680B0000000000000000,-55,11,923250,42,Gen2
329,4,E200680B000040069F2608C30000000000000000000000000000,E200680B0000000000000000,-53,11,923250,33,Gen2
330,3,E200680B00004006B9F2D9140000000000000000000000000000,E200680B0000000000000000,-47,11,923250,137,Gen2
331,3,E200680B000040069F3660A30000000000000000000000000000,E200680B0000000000000000,-53,11,923250,70,Gen2
332,2,E200341201371E0001CCCBF00F0A0133300D5FFBFFFFDC60,0E113F000000000000000000,-49,11,923250,146,Gen2
333,3,E200680B00004006A03180E50000000000000000000000000000,E200680B0000000000000000,-48,11,923250,56,Gen2
334,1,E200341201371E0001CCCBF00F0A0134700D5FFBFFFFDC60,0E113F000000000000000000,-50,11,923250,106,Gen2
335,2,E200680B00004006A1B318440000000000000000000000000000,E200680B0000000000000000,-51,11,923250,36,Gen2
336,3,E200600316D93364,54309,-56,11,923250,70,Gen2
337,1,E28011052000750374E70A6B000000000000000000000000,FFFF274C,-49,11,923250,90,Gen2
338,3,E200680B00004006A194F0E20000000000000000000000000000,E200680B0000000000000000,-56,11,923250,75,Gen2
339,4,E200680B00004006A1B400F20000000000000000000000000000,E200680B0000000000000000,-52,11,923250,33,Gen2
340,2,E200341201391B00017A985D101F0134300D5FFBFFFFDC60,E200001D160801812310A162,-55,11,923250,53,Gen2
341,1,E200680B00004006B9F0B4E30000000000000000000000000000,E200680B0000000000000000,-58,11,923250,123,Gen2
342,2,E200680B000040069F22DD170000000000000000000000000000,E200680B0000000000000000,-58,11,923250,151,Gen2
343,2,E200680B00004006A19290800000000000000000000000000000,E200680B0000000000000000,-60,11,923250,2,Gen2
344,4,E200680B00004006A032602D0000000000000000000000000000,E200680B0000000000000000,-53,11,923250,132,Gen2
345,2,E200680B000040069F25C4DE0000000000000000000000000000,E200680B0000000000000000,-52,11,923250,73,Gen2
346,2,E200600316D9650A,35140,-59,11,923250,160,Gen2
347,2,E200680B00004006B9F130E20000000000000000000000000000,E200680B0000000000000000,-51,11,923250,171,Gen2
348,5,E200680B00004006A0322CD00000000000000000000000000000,E200680B0000000000000000,-55,11,923250,171,Gen2
349,3,E200680B00004006A03050990000000000000000000000000000,E200680B0000000000000000,-56,11,923250,64,Gen2
350,6,E280110020007384780C094C,4E201985B616000000000001,-47,11,913250,75,Gen2
351,3,E20065750548FF2E,61813,-56,11,923250,95,Gen2
352,1,E20034120134FC00061EE87218020131300D5FFBFFFFDC50,E20000164215009017706124,-51,11,923250,19,Gen2
353,4,E200680B00004006A1B340640000000000000000000000000000,E200680B0000000000000000,-58,11,923250,104,Gen2
354,3,E200680B00004006A19540E90000000000000000000000000000,E200680B0000000000000000,-51,11,923250,64,Gen2
355,2,E2003412013103000E8774BA1D19012D300D5FFBFFFFDC50,AA0004EF55555555AA018D3A,-53,11,923250,132,Gen2
356,3,E200680B00004006A192A0300000000000000000000000000000,E200680B0000000000000000,-54,11,923250,165,Gen2
357,3,E2003412013103000E8774BA1D19012E300D5FFBFFFFDC50,AA0004EF55555555AA018D3A,-57,11,923250,42,Gen2
358,3,E200680B00004006A1B368FF0000000000000000000000000000,E200680B0000000000000000,-52,11,923250,22,Gen2
359,4,E20034120132FB00051F64C32A14012F70055FFBFFFFDC50,0016050005160119254014C3,-48,11,923250,45,Gen2
360,2,E200680B00004006A061F4E10000000000000000000000000000,E200680B0000000000000000,-53,11,923250,87,Gen2
361,1,E20034120132FB00051F64C32A14012F30055FFBFFFFDC50,0016050005160119254014C3,-51,11,923250,14,Gen2
362,7,E280110520007785765A0A6B000000000000000000000000,FFFF1FE9,-30,11,913250,81,Gen2
363,1,E20034120136FB0002BC9B841919013230055FFBFFFFDC50,0074F3000000000000000000,-57,11,913250,19,Gen2
364,1,E20034120136FB0002BC9B841919013130055FFBFFFFDC50,0074F3000000000000000000,-57,11,913250,104,Gen2
365,2,E200680B000040069F22F4790000000000000000000000000000,E200680B0000000000000000,-50,11,923250,157,Gen2
366,4,E28011052000779D76220A6B000000000000000000000000,FFFF4A1C,-53,11,923250,132,Gen2
367,3,E2003412016FC3FFEEBAC7CE1E0F0164300D5FFBFFFFDC00,E200001D641901962140AA97,-52,11,923250,171,Gen2
368,1,E2003412016FC3FFEEBAC7CE1E0F0163300D5FFBFFFFDC00,E200001D641901962140AA97,-58,11,923250,42,Gen2
369,1,E20034120164C3FFEEBA6071050A015B300D5FFBFFFFDC00,E200001D641900981580433A,-56,11,923250,70,Gen2
370,1,E20034120164C3FFEEBA6071050A015A100D5FFBFFFFDC00,E200001D641900981580433A,-59,11,923250,118,Gen2
371,2,E20034120164C3FFEEBA6071050A015A300D5FFBFFFFDC00,E200001D641900981580433A,-55,11,923250,14,Gen2
372,3,E200680B00004006A1B17D0B0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,47,Gen2
373,3,E200680B00004006A1B198270000000000000000000000000000,E200680B0000000000000000,-59,11,923250,87,Gen2
374,3,E200680B00004006A061B4620000000000000000000000000000,E200680B0000000000000000,-55,11,923250,157,Gen2
375,2,E2003412013601000630CFBE16150133300D5FFBFFFFDC70,E200001B850B02332060D180,-51,11,923250,11,Gen2
376,1,E200680B000040069F2230430000000000000000000000000000,E200680B0000000000000000,-61,11,923250,151,Gen2
377,2,E20034120132FB000C3B1C09090E0133300D5FFBFFFFDC60,E200001700341500255013CD,-51,11,923250,112,Gen2
378,3,E200680B00004006A1B1CC7B0000000000000000000000000000,E200680B0000000000000000,-56,11,923250,146,Gen2
379,2,E2003412012CFB00051F554B181D012930055FFBFFFFDC50,E2005186051601612780054B,-57,11,923250,115,Gen2
380,1,E20034120135FC000D13DF1102040132300D5FFBFFFFDC60,E2000019080A009224801BF2,-51,11,923250,42,Gen2
381,1,E20034120135FC000D13DF1102040133700D5FFBFFFFDC60,E2000019080A009224801BF2,-50,11,923250,92,Gen2
382,3,E200680B00004006B9F358A00000000000000000000000000000,E200680B0000000000000000,-50,11,923250,70,Gen2
383,2,E200657505486C33,10449,-61,11,923250,165,Gen2
384,2,E200680B00004006A03130520000000000000000000000000000,E200680B0000000000000000,-60,11,923250,53,Gen2
385,3,E20065750548B3C3,43316,-58,11,923250,143,Gen2
386,1,E2003412016FC2FFEEFEDB0D04030166300D5FFBFFFFDC00,5056450000000000000001C8,-61,11,923250,22,Gen2
387,24,E20065750548B4EC,43644,-59,11,926250,45,Gen2
388,3,E200680B00004006A1B354090000000000000000000000000000,E200680B0000000000000000,-52,11,923250,109,Gen2
389,4,E20065750549434C,69441,-56,11,923250,171,Gen2
390,4,E200680B000040069F34851E0000000000000000000000000000,E200680B0000000000000000,-50,11,923250,33,Gen2
391,3,E200680B00004006A1A2C9330000000000000000000000000000,E200680B0000000000000000,-56,11,923250,64,Gen2
392,4,E200680B00004006B9F2B8700000000000000000000000000000,E200680B0000000000000000,-46,11,923250,146,Gen2
393,2,E200600316D92026,52831,-55,11,923250,104,Gen2
394,1,E2003412016FC3FFEEBA4D1204140164300D5FFBFFFFDC00,E200001D6419007712602FDB,-57,11,923250,135,Gen2
395,1,E2003412016FC3FFEEBA4D1204140165300D5FFBFFFFDC00,E200001D6419007712602FDB,-60,11,923250,109,Gen2
396,4,E200680B000040069F24F08C0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,16,Gen2
397,4,E200680B000040069F25C4E50000000000000000000000000000,E200680B0000000000000000,-55,11,923250,28,Gen2
398,2,E200600316D925CE,16706,-53,11,923250,14,Gen2
399,1,E2003412012FFF000C4F1A380F16012E300D5FFBFFFFDC40,E20000203910017216809157,-58,11,923250,112,Gen2
400,2,E2003412012FFF000C4F1A380F16012D300D5FFBFFFFDC40,E20000203910017216809157,-55,11,923250,174,Gen2
401,1,E200680B00004006A195503A0000000000000000000000000000,E200680B0000000000000000,-57,11,913250,22,Gen2
402,2,E2003412013CFC000D13CA991E1A0139700D5FFBFFFFDC50,E2000019080A01452760077A,-49,11,923250,135,Gen2
403,1,E2003412013CFC000D13CA991E1A0138700D5FFBFFFFDC50,E2000019080A01452760077A,-50,11,923250,132,Gen2
404,3,E280110020007384A7B609A4,800720000000000000009025,-61,11,923250,11,Gen2
405,1,E20034120138010006D5F5060C170135300D5FFBFFFFDC60,E200001B830B004910301464,-61,11,923250,42,Gen2
406,3,E200600316D94DD5,45066,-57,11,923250,56,Gen2
407,3,E200680B00004006A1B184620000000000000000000000000000,E200680B0000000000000000,-54,11,923250,5,Gen2
408,2,E200680B00004006B9F2283A0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,25,Gen2
409,1,E200680B00004006B9F144470000000000000000000000000000,E200680B0000000000000000,-47,11,923250,109,Gen2
410,3,E200680B00004006A1B3F8CB0000000000000000000000000000,E200680B0000000000000000,-58,11,923250,36,Gen2
411,3,E200680B00004006A1B324E60000000000000000000000000000,E200680B0000000000000000,-45,11,923250,70,Gen2
412,2,E200680B00004006A0C160AB0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,45,Gen2
413,4,E20065750548FF00,73086,-59,11,905250,109,Gen2
414,3,E200680B00004006A1B1E44C0000000000000000000000000000,E200680B0000000000000000,-56,11,923250,5,Gen2
415,5,E2801105200070D476510A6B000000000000000000000000,FFFF1131,-50,11,923250,64,Gen2
416,5,E200680B00004006A1B1C4B50000000000000000000000000000,E200680B0000000000000000,-51,11,923250,123,Gen2
417,3,E200680B00004006A1B32D2C0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,171,Gen2
418,3,E200680B00004006B9F2F44C0000000000000000000000000000,E200680B0000000000000000,-49,11,923250,42,Gen2
419,1,E20034120131FD000D2167B61C06012C700D5FFBFFFFDC50,8A4B0001555555558A4B08B0,-48,11,923250,33,Gen2
420,5,E200680B00004006A1B351070000000000000000000000000000,E200680B0000000000000000,-49,11,923250,132,Gen2
421,1,E20034120131FD000D2167B61C06012D700D5FFBFFFFDC50,8A4B0001555555558A4B08B0,-48,11,923250,135,Gen2
422,1,E20034120131FD000D2167B61C06012E300D5FFBFFFFDC50,8A4B0001555555558A4B08B0,-53,11,923250,33,Gen2
423,4,E200600316D98198,23282,-54,11,923250,160,Gen2
424,4,E280689020000001F1D47B90,30396062C39973400013FAA5,-59,11,923250,154,Gen2
425,2,E200680B00004006B9F25CDE0000000000000000000000000000,E200680B0000000000000000,-49,11,923250,84,Gen2
426,2,E20034120138010005958F3612130134100D5FFBFFFFDC50,AA0004EF55555555AA017458,-55,11,913250,168,Gen2
427,3,E20034120138010005958F3612130134300D5FFBFFFFDC50,AA0004EF55555555AA017458,-51,11,923250,120,Gen2
428,1,E20034120138010005958F361213013C300D5FFBFFFFDC50,AA0004EF55555555AA017458,-50,11,923250,165,Gen2
429,1,E20034120138010005958F3612130138700D5FFBFFFFDC50,AA0004EF55555555AA017458,-50,11,923250,126,Gen2
430,2,E200680B00004006A191307E0000000000000000000000000000,E200680B0000000000000000,-55,11,913250,73,Gen2
431,2,E20034120159C3FFEE00A5AD1A040151300D5FFBFFFFDC00,50564500000000000000037F,-61,11,923250,25,Gen2
432,1,E20034120159C3FFEE00A5AD1A040152100D5FFBFFFFDC00,50564500000000000000037F,-60,11,923250,16,Gen2
433,15,E200657505495EF4,59681,-54,11,905250,5,Gen2
434,2,E200680B00004006A1B184F40000000000000000000000000000,E200680B0000000000000000,-47,11,923250,70,Gen2
435,3,E20065750548908E,48535,-58,11,923250,14,Gen2
436,3,E200600316D92A8C,20917,-53,11,923250,163,Gen2
437,2,E2003412413B0200032AF65319010137300D5FFBFFFFDC60,E2000019830602132090C242,-55,11,923250,47,Gen2
438,1,E200680B00004006A1B34CEE0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,132,Gen2
439,3,E2801170200015B161B209A5,800720000000000000020850,-61,11,923250,157,Gen2
440,3,E200680B00004006A1B239010000000000000000000000000000,E200680B0000000000000000,-51,11,923250,64,Gen2
441,3,E200680B00004006A195988D0000000000000000000000000000,E200680B0000000000000000,-52,11,923250,81,Gen2
442,4,E200680B00004006A1B3BC6F0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,137,Gen2
443,3,E200680A00004007928528C30000000000000000000000000000,E200680A0000000000000000,-54,11,923250,123,Gen2
444,3,E200680B00004006A033510F0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,75,Gen2
445,3,E20034120132200000305A270C150130300D5FFBFFFFDC60,E2000020830302331030CFE8,-54,11,923250,59,Gen2
446,2,E200680B00004006A1B358E40000000000000000000000000000,E200680B0000000000000000,-53,11,923250,28,Gen2
447,1,E20034120131020001BDB7230D0A0130100D5FFBFFFFDC40,8A4B0834555555558A4B0FC9,-61,11,923250,73,Gen2
448,1,E20034120131020001BDB7230D0A0130300D5FFBFFFFDC40,8A4B0834555555558A4B0FC9,-57,11,923250,30,Gen2
449,2,E200680B000040069F22E0210000000000000000000000000000,E200680B0000000000000000,-61,11,923250,132,Gen2
450,3,E20034120134C2FFEE07F719151D013030055FFBFFFFDC50,7475,-51,11,923250,126,Gen2
451,2,E280116020007386F0480A14,30F269FBFE8009008CA00007,-50,11,913250,84,Gen2
452,1,E2003412012C03000E880CC91114012A100D5FFBFFFFDC50,AA0004EF55555555AA01910E,-56,11,923250,45,Gen2
453,2,E2003412012C03000E880CC91114012A300D5FFBFFFFDC50,AA0004EF55555555AA01910E,-49,11,913250,70,Gen2
454,1,E20034120131FF000C4E915303010132300D5FFBFFFFDC60,E20000203910002718700872,-58,11,913250,61,Gen2
455,1,E200341201311B000287A4020C0D012E000D5FFBFFFFDC60,4E20190A0000000000002147,-61,11,923250,84,Gen2
456,2,E200680B00004006A1B448590000000000000000000000000000,E200680B0000000000000000,-48,11,923250,33,Gen2
457,1,E2003412012603000E8A5E101D17011E000D5FFBFFFFDC60,C40004EF55555555AA01CA29,-61,11,923250,5,Gen2
458,3,E28011052000769A76520A6B000000000000000000000000,FFFF18B8,-37,11,923250,42,Gen2
459,2,E200680B00004006A061385C0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,135,Gen2
460,2,E280110520007B13764A0A6B000000000000000000000000,FFFF0696,-47,11,923250,25,Gen2
461,4,E20065750549869B,67334,-58,11,923250,140,Gen2
462,1,E20034120167C3FFEEBA71230D1E015A300D5FFBFFFFDC00,E200001D64190118166053EC,-59,11,923250,104,Gen2
463,1,E200680B00004006A1B1A0D90000000000000000000000000000,E200680B0000000000000000,-59,11,923250,95,Gen2
464,3,E200680B00004006A1A178A50000000000000000000000000000,E200680B0000000000000000,-51,11,923250,112,Gen2
465,1,E200680B00004006B9F2F4450000000000000000000000000000,E200680B0000000000000000,-60,11,923250,123,Gen2
466,3,E200680B000040069F2570F20000000000000000000000000000,E200680B0000000000000000,-55,11,923250,112,Gen2
467,3,E200680B00004006A1B3A46C0000000000000000000000000000,E200680B0000000000000000,-47,11,923250,171,Gen2
468,3,E200680B00004006A1B2A4790000000000000000000000000000,E200680B0000000000000000,-56,11,923250,95,Gen2
469,1,E2003412017AC3FFEEBAF2F7101B0170100D5FFBFFFFDC00,E200001D641902392310D5C0,-58,11,923250,30,Gen2
470,1,E2003412012803000D084D2C1F0D0124300D5FFBFFFFDC60,AA0004EF55555555AA00A18D,-48,11,923250,115,Gen2
471,1,E2003412012803000D084D2C1F0D0125300D5FFBFFFFDC60,AA0004EF55555555AA00A18D,-49,11,923250,30,Gen2
472,1,E2003412017AC3FFEEBAF2F7101B016F300D5FFBFFFFDC00,E200001D641902392310D5C0,-52,11,923250,165,Gen2
473,3,E200657505497AE8,81792,-55,11,923250,2,Gen2
474,3,E200680B00004006A1B3186A0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,0,Gen2
475,3,E200680B000040069F2628610000000000000000000000000000,E200680B0000000000000000,-52,11,923250,28,Gen2
476,2,E200680B00004006A0465CB50000000000000000000000000000,E200680B0000000000000000,-55,11,923250,154,Gen2
477,3,E2801170200010C9BB3009C4,800720000000000000021671,-61,11,913250,42,Gen2
478,3,E2003412013EFF000C4EC7B11807013A300D5FFBFFFFDC50,E20000203910009517703ED0,-57,11,913250,106,Gen2
479,1,E200680B00004006A1B348340000000000000000000000000000,E200680B0000000000000000,-60,11,913250,67,Gen2
480,4,E20065750548EF31,78190,-57,11,923250,56,Gen2
481,1,E200600316D916BA,20620,-59,11,923250,33,Gen2
482,4,E200657505487810,48617,-57,11,923250,47,Gen2
483,4,E200341201372000002FD8200A120134300D5FFBFFFFDC60,E20000208303010613204DE1,-52,11,923250,75,Gen2
484,1,E200680B00004006B9F2E83C0000000000000000000000000000,E200680B0000000000000000,-61,11,923250,132,Gen2
485,2,E200657505489E72,48772,-55,11,923250,16,Gen2
486,1,E2003412011A1C00014BC3241519011C300D5FFBFFFFDC70,000000000000000000C31193,-58,11,923250,39,Gen2
487,1,E2003412011A1C00014BC3241519011B300D5FFBFFFFDC70,000000000000000000C31193,-58,11,923250,75,Gen2
488,5,E200341201381E0001CCCC7210030135300D5FFBFFFFDC50,0E10CE000000000000000000,-48,11,905250,64,Gen2
489,1,E200341201381E0001CCCC7210030134300D5FFBFFFFDC50,0E10CE000000000000000000,-51,11,923250,70,Gen2
490,3,E200341201381E0001CCCC7210030136300D5FFBFFFFDC50,0E10CE000000000000000000,-48,11,913250,75,Gen2
491,2,E200657505497544,64577,-59,11,913250,165,Gen2
492,1,E200341201381E0001CCCC7210030136700D5FFBFFFFDC50,0E10CE000000000000000000,-44,11,913250,39,Gen2
493,2,E280110020007702CDB908D5,4E201904CF99000000000001,-51,11,923250,25,Gen2
494,1,E2003412013B2000002FEA2712090137300D5FFBFFFFDC60,E20000208303012807805FE8,-58,11,923250,84,Gen2
495,2,E2003412013B2000002FEA2712090136300D5FFBFFFFDC60,E20000208303012807805FE8,-56,11,923250,25,Gen2
496,2,E200600316D9706D,51719,-58,11,923250,165,Gen2
497,3,E20065750548A34D,31275,-60,11,923250,81,Gen2
498,3,E200657505498C8F,84318,-59,11,923250,75,Gen2
499,1,E200680B00004006A032692A0000000000000000000000000000,E200680B0000000000000000,-50,11,923250,19,Gen2
500,1,E20034120175C3FFEEBAADE01D120169100D5FFBFFFFDC00,E200001D64190168213090A9,-59,11,923250,151,Gen2
501,2,E2003412013EC2FFEE3B1798250A013930055FFBFFFFDC60,061115000000000000006013,-58,11,923250,101,Gen2
502,1,E2003412013EC2FFEE3B1798250A013A30055FFBFFFFDC60,061115000000000000006013,-58,11,923250,163,Gen2
503,3,E200680B00004006B9F26C9D0000000000000000000000000000,E200680B0000000000000000,-52,11,923250,5,Gen2
504,1,E200680B00004006A194D0850000000000000000000000000000,E200680B0000000000000000,-60,11,923250,8,Gen2
505,1,E2003412013003000D859C33180B012D000D5FFBFFFFDC60,0016D10033180016D1004AB5,-61,11,923250,47,Gen2
506,1,E2003412013003000D859C33180B012E100D5FFBFFFFDC60,0016D10033180016D1004AB5,-57,11,923250,73,Gen2
507,3,E200680B00004006B9F2A4FE0000000000000000000000000000,E200680B0000000000000000,-50,11,923250,112,Gen2
508,3,E200680B00004006B9F358D80000000000000000000000000000,E200680B0000000000000000,-51,11,923250,61,Gen2
509,3,E200657505498B4B,66887,-56,11,923250,42,Gen2
510,1,E20034120132FC000D1CBD0A17140130100D5FFBFFFFDC50,E2000019081000770520E263,-59,11,923250,22,Gen2
511,1,E20034120132FC000D1CBD0A1714012F300D5FFBFFFFDC50,E2000019081000770520E263,-55,11,923250,84,Gen2
512,3,E2003412013AFC000D1CBF70131F0137300D5FFBFFFFDC60,E2000019081001500480E4C9,-57,11,923250,56,Gen2
513,2,E200680B00004006A1B3F40F0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,160,Gen2
514,3,E200680B00004006A1B2A91B0000000000000000000000000000,E200680B0000000000000000,-53,11,923250,120,Gen2
515,2,E200600316D9A33A,30095,-55,11,923250,5,Gen2
516,2,E200680B00004006B9F054A60000000000000000000000000000,E200680B0000000000000000,-51,11,923250,135,Gen2
517,1,E20034120136FF000C4EA97A0E1F0134300D5FFBFFFFDC60,E20000203910005716702099,-59,11,923250,135,Gen2
518,1,E2003412012DC1FFEEFA2D680D06012930055FFBFFFFDC50,5478,-53,11,923250,22,Gen2
519,2,E2003412012DC1FFEEFA2D680D06012A30055FFBFFFFDC50,5478,-52,11,923250,14,Gen2
520,2,E200657505494800,86892,-58,11,923250,90,Gen2
521,3,E200680B00004006A19138870000000000000000000000000000,E200680B0000000000000000,-55,11,923250,115,Gen2
522,4,E200680B00004006B9F2DCBB0000000000000000000000000000,E200680B0000000000000000,-56,11,923250,70,Gen2
523,6,E200680B00004006A1B218980000000000000000000000000000,E200680B0000000000000000,-55,11,923250,146,Gen2
524,4,E200680B00004006A0614CD50000000000000000000000000000,E200680B0000000000000000,-51,11,923250,115,Gen2
525,1,E2003412013A03000EECAD80190F0138300D5FFBFFFFDC50,E200001D89010103054047CF,-58,11,923250,101,Gen2
526,3,E2003412013A03000EECAD80190F0137300D5FFBFFFFDC50,E200001D89010103054047CF,-52,11,923250,92,Gen2
527,3,E200680B00004006A1B1BCB60000000000000000000000000000,E200680B0000000000000000,-51,11,923250,30,Gen2
528,5,E28011002000758A7800094C,4E2019862238800000000001,-51,11,923250,160,Gen2
529,2,E200600316D928CC,53643,-57,11,923250,56,Gen2
530,4,E200680B00004006A1B3D85D0000000000000000000000000000,E200680B0000000000000000,-53,11,923250,2,Gen2
